Effective Date,First Name,Last Name,Location,Job Name,GL Code,Labor Task,Deptment,Hours
2026-01-06,Tomas,Lindqvist,Plant 2,25-1091 Kestrel Logistics Hub,5120,DESIGN - Member Design,Drafting,5.0
2026-01-06,Tomas,Lindqvist,Plant 2,25-1044 Harborview Medical Deck,5110,DRAFT - Piece Tickets,Drafting,0.5
2026-01-06,Alice,Boonyasak,Plant 1,24-1207 Northgate Transit Center,5100,ADMIN - Meetings,Drafting,4.5
2026-01-06,Alice,Boonyasak,Plant 1,25-1130 Fairmount Stadium Risers,5120,DESIGN - Member Design,Drafting,1.5
2026-01-06,Alice,Boonyasak,Plant 1,OVERHEAD - Training,6010,DRAFT - Piece Tickets,Drafting,2.0
2026-01-06,Ruben,Castellanos,Plant 3,24-1180 Riverside Parking Structure,5100,ADMIN - Meetings,Engineering,5.0
2026-01-06,Ruben,Castellanos,Plant 3,OVERHEAD - Training,6010,DRAFT - Piece Tickets,Engineering,2.0
2026-01-06,Ruben,Castellanos,Plant 3,OVERHEAD - General Engineering,6000,DRAFT - Erection Drawings,Engineering,1.0
2026-01-06,Nia,Okonkwo,Plant 3,25-1044 Harborview Medical Deck,5110,DESIGN - Member Design,QC,1.0
2026-01-06,Nia,Okonkwo,Plant 3,24-1180 Riverside Parking Structure,5100,QC - Shop Review,QC,7.0
2026-01-06,Iris,Hollander,Plant 1,24-1207 Northgate Transit Center,5100,PM - Coordination,Engineering,1.5
2026-01-06,Iris,Hollander,Plant 1,OVERHEAD - Training,6010,QC - Shop Review,Engineering,3.5
2026-01-06,Iris,Hollander,Plant 1,25-1002 Belmont Industrial Phase II,5110,DRAFT - Erection Drawings,Engineering,3.0
2026-01-06,Kofi,Mensah,Plant 3,25-1130 Fairmount Stadium Risers,5120,DESIGN - Member Design,Drafting,2.5
2026-01-06,Kofi,Mensah,Plant 3,25-1091 Kestrel Logistics Hub,5120,DRAFT - Piece Tickets,Drafting,2.5
2026-01-06,Kofi,Mensah,Plant 3,24-1180 Riverside Parking Structure,5100,DESIGN - Connection Design,Drafting,3.0
2026-01-07,Dana,Whitfield,Plant 1,24-1180 Riverside Parking Structure,5100,DESIGN - Connection Design,Engineering,1.5
2026-01-07,Dana,Whitfield,Plant 1,OVERHEAD - Training,6010,DRAFT - Erection Drawings,Engineering,3.5
2026-01-07,Dana,Whitfield,Plant 1,OVERHEAD - Training,6010,PM - Coordination,Engineering,3.0
2026-01-07,Marcus,Ohara,Plant 1,OVERHEAD - General Engineering,6000,DESIGN - Connection Design,Engineering,8.0
2026-01-07,Tomas,Lindqvist,Plant 2,25-1044 Harborview Medical Deck,5110,QC - Shop Review,Drafting,7.0
2026-01-07,Tomas,Lindqvist,Plant 2,25-1130 Fairmount Stadium Risers,5120,ADMIN - Meetings,Drafting,1.0
2026-01-07,Alice,Boonyasak,Plant 1,25-1091 Kestrel Logistics Hub,5120,DESIGN - Member Design,Drafting,2.0
2026-01-07,Alice,Boonyasak,Plant 1,25-1091 Kestrel Logistics Hub,5120,PM - Coordination,Drafting,6.0
2026-01-07,Ruben,Castellanos,Plant 3,25-1091 Kestrel Logistics Hub,5120,DESIGN - Connection Design,Engineering,8.0
2026-01-07,Nia,Okonkwo,Plant 3,25-1130 Fairmount Stadium Risers,5120,DESIGN - Connection Design,QC,8.0
2026-01-07,Sam,Petrov,Plant 2,24-1180 Riverside Parking Structure,5100,DESIGN - Member Design,QC,2.5
2026-01-07,Sam,Petrov,Plant 2,25-1002 Belmont Industrial Phase II,5110,PM - Coordination,QC,5.5
2026-01-07,Iris,Hollander,Plant 1,25-1002 Belmont Industrial Phase II,5110,DESIGN - Connection Design,Engineering,1.5
2026-01-07,Iris,Hollander,Plant 1,25-1002 Belmont Industrial Phase II,5110,DESIGN - Connection Design,Engineering,6.5
2026-01-07,Kofi,Mensah,Plant 3,OVERHEAD - General Engineering,6000,DESIGN - Connection Design,Drafting,8.0
2026-01-08,Dana,Whitfield,Plant 1,25-1044 Harborview Medical Deck,5110,ADMIN - Meetings,Engineering,8.0
2026-01-08,Marcus,Ohara,Plant 1,25-1130 Fairmount Stadium Risers,5120,DESIGN - Connection Design,Engineering,8.0
2026-01-08,Priya,Raman,Plant 2,25-1044 Harborview Medical Deck,5110,ADMIN - Meetings,Engineering,8.0
2026-01-08,Tomas,Lindqvist,Plant 2,OVERHEAD - Training,6010,DESIGN - Connection Design,Drafting,7.0
2026-01-08,Tomas,Lindqvist,Plant 2,25-1002 Belmont Industrial Phase II,5110,PM - Coordination,Drafting,0.5
2026-01-08,Tomas,Lindqvist,Plant 2,25-1044 Harborview Medical Deck,5110,DESIGN - Connection Design,Drafting,0.5
2026-01-08,Alice,Boonyasak,Plant 1,OVERHEAD - General Engineering,6000,DESIGN - Connection Design,Drafting,6.5
2026-01-08,Alice,Boonyasak,Plant 1,25-1091 Kestrel Logistics Hub,5120,DESIGN - Connection Design,Drafting,1.0
2026-01-08,Alice,Boonyasak,Plant 1,OVERHEAD - General Engineering,6000,DRAFT - Erection Drawings,Drafting,0.5
2026-01-08,Ruben,Castellanos,Plant 3,25-1091 Kestrel Logistics Hub,5120,DRAFT - Piece Tickets,Engineering,2.5
2026-01-08,Ruben,Castellanos,Plant 3,25-1091 Kestrel Logistics Hub,5120,DESIGN - Member Design,Engineering,5.5
2026-01-08,Nia,Okonkwo,Plant 3,OVERHEAD - Training,6010,ADMIN - Meetings,QC,8.0
2026-01-08,Sam,Petrov,Plant 2,OVERHEAD - General Engineering,6000,PM - Coordination,QC,1.5
2026-01-08,Sam,Petrov,Plant 2,24-1207 Northgate Transit Center,5100,DESIGN - Connection Design,QC,6.5
2026-01-08,Iris,Hollander,Plant 1,25-1002 Belmont Industrial Phase II,5110,DESIGN - Member Design,Engineering,3.5
2026-01-08,Iris,Hollander,Plant 1,25-1002 Belmont Industrial Phase II,5110,DESIGN - Connection Design,Engineering,4.5
2026-01-08,Kofi,Mensah,Plant 3,25-1091 Kestrel Logistics Hub,5120,DRAFT - Piece Tickets,Drafting,8.0
2026-01-09,Dana,Whitfield,Plant 1,25-1091 Kestrel Logistics Hub,5120,DESIGN - Connection Design,Engineering,7.5
2026-01-09,Dana,Whitfield,Plant 1,OVERHEAD - General Engineering,6000,DRAFT - Erection Drawings,Engineering,0.5
2026-01-09,Marcus,Ohara,Plant 1,25-1002 Belmont Industrial Phase II,5110,QC - Shop Review,Engineering,8.0
2026-01-09,Priya,Raman,Plant 2,25-1044 Harborview Medical Deck,5110,PM - Coordination,Engineering,5.0
2026-01-09,Priya,Raman,Plant 2,25-1002 Belmont Industrial Phase II,5110,PM - Coordination,Engineering,3.0
2026-01-09,Alice,Boonyasak,Plant 1,24-1180 Riverside Parking Structure,5100,QC - Shop Review,Drafting,8.0
2026-01-09,Ruben,Castellanos,Plant 3,OVERHEAD - Training,6010,QC - Shop Review,Engineering,6.5
2026-01-09,Ruben,Castellanos,Plant 3,25-1130 Fairmount Stadium Risers,5120,QC - Shop Review,Engineering,0.5
2026-01-09,Ruben,Castellanos,Plant 3,24-1207 Northgate Transit Center,5100,PM - Coordination,Engineering,1.0
2026-01-09,Nia,Okonkwo,Plant 3,25-1091 Kestrel Logistics Hub,5120,DESIGN - Connection Design,QC,6.5
2026-01-09,Nia,Okonkwo,Plant 3,25-1044 Harborview Medical Deck,5110,PM - Coordination,QC,1.5
2026-01-09,Sam,Petrov,Plant 2,25-1002 Belmont Industrial Phase II,5110,DRAFT - Erection Drawings,QC,4.5
2026-01-09,Sam,Petrov,Plant 2,25-1130 Fairmount Stadium Risers,5120,QC - Shop Review,QC,3.5
2026-01-09,Iris,Hollander,Plant 1,24-1180 Riverside Parking Structure,5100,DRAFT - Erection Drawings,Engineering,7.0
2026-01-09,Iris,Hollander,Plant 1,OVERHEAD - General Engineering,6000,PM - Coordination,Engineering,0.5
2026-01-09,Iris,Hollander,Plant 1,OVERHEAD - General Engineering,6000,ADMIN - Meetings,Engineering,0.5
2026-01-09,Kofi,Mensah,Plant 3,24-1180 Riverside Parking Structure,5100,DESIGN - Connection Design,Drafting,8.0
2026-01-12,Dana,Whitfield,Plant 1,OVERHEAD - General Engineering,6000,DESIGN - Member Design,Engineering,5.0
2026-01-12,Dana,Whitfield,Plant 1,25-1044 Harborview Medical Deck,5110,DESIGN - Connection Design,Engineering,3.0
2026-01-12,Marcus,Ohara,Plant 1,OVERHEAD - Training,6010,DRAFT - Erection Drawings,Engineering,8.0
2026-01-12,Priya,Raman,Plant 2,OVERHEAD - General Engineering,6000,DESIGN - Member Design,Engineering,5.0
2026-01-12,Priya,Raman,Plant 2,OVERHEAD - General Engineering,6000,DRAFT - Piece Tickets,Engineering,3.0
2026-01-12,Tomas,Lindqvist,Plant 2,OVERHEAD - Training,6010,ADMIN - Meetings,Drafting,6.5
2026-01-12,Tomas,Lindqvist,Plant 2,25-1091 Kestrel Logistics Hub,5120,QC - Shop Review,Drafting,0.5
2026-01-12,Tomas,Lindqvist,Plant 2,24-1207 Northgate Transit Center,5100,DESIGN - Member Design,Drafting,1.0
2026-01-12,Alice,Boonyasak,Plant 1,25-1002 Belmont Industrial Phase II,5110,DRAFT - Piece Tickets,Drafting,4.0
2026-01-12,Alice,Boonyasak,Plant 1,OVERHEAD - General Engineering,6000,DESIGN - Member Design,Drafting,0.5
2026-01-12,Alice,Boonyasak,Plant 1,OVERHEAD - Training,6010,DESIGN - Connection Design,Drafting,3.5
2026-01-12,Ruben,Castellanos,Plant 3,25-1002 Belmont Industrial Phase II,5110,PM - Coordination,Engineering,8.0
2026-01-12,Nia,Okonkwo,Plant 3,25-1044 Harborview Medical Deck,5110,DESIGN - Connection Design,QC,2.5
2026-01-12,Nia,Okonkwo,Plant 3,24-1180 Riverside Parking Structure,5100,QC - Shop Review,QC,5.0
2026-01-12,Nia,Okonkwo,Plant 3,24-1207 Northgate Transit Center,5100,ADMIN - Meetings,QC,0.5
2026-01-12,Sam,Petrov,Plant 2,24-1207 Northgate Transit Center,5100,DRAFT - Erection Drawings,QC,5.5
2026-01-12,Sam,Petrov,Plant 2,25-1002 Belmont Industrial Phase II,5110,DESIGN - Member Design,QC,2.5
2026-01-12,Iris,Hollander,Plant 1,25-1002 Belmont Industrial Phase II,5110,QC - Shop Review,Engineering,8.0
2026-01-12,Kofi,Mensah,Plant 3,25-1002 Belmont Industrial Phase II,5110,DRAFT - Piece Tickets,Drafting,8.0
2026-01-13,Dana,Whitfield,Plant 1,25-1044 Harborview Medical Deck,5110,PM - Coordination,Engineering,8.0
2026-01-13,Marcus,Ohara,Plant 1,OVERHEAD - Training,6010,DESIGN - Member Design,Engineering,7.0
2026-01-13,Marcus,Ohara,Plant 1,OVERHEAD - Training,6010,DESIGN - Connection Design,Engineering,1.0
2026-01-13,Priya,Raman,Plant 2,24-1180 Riverside Parking Structure,5100,DESIGN - Connection Design,Engineering,8.0
2026-01-13,Tomas,Lindqvist,Plant 2,25-1091 Kestrel Logistics Hub,5120,DRAFT - Piece Tickets,Drafting,6.0
2026-01-13,Tomas,Lindqvist,Plant 2,25-1002 Belmont Industrial Phase II,5110,DESIGN - Connection Design,Drafting,1.5
2026-01-13,Tomas,Lindqvist,Plant 2,24-1207 Northgate Transit Center,5100,DESIGN - Connection Design,Drafting,0.5
2026-01-13,Alice,Boonyasak,Plant 1,25-1130 Fairmount Stadium Risers,5120,DESIGN - Connection Design,Drafting,0.5
2026-01-13,Alice,Boonyasak,Plant 1,25-1091 Kestrel Logistics Hub,5120,QC - Shop Review,Drafting,5.5
2026-01-13,Alice,Boonyasak,Plant 1,25-1002 Belmont Industrial Phase II,5110,PM - Coordination,Drafting,2.0
2026-01-13,Ruben,Castellanos,Plant 3,24-1180 Riverside Parking Structure,5100,DESIGN - Member Design,Engineering,8.0
2026-01-13,Sam,Petrov,Plant 2,25-1130 Fairmount Stadium Risers,5120,ADMIN - Meetings,QC,1.0
2026-01-13,Sam,Petrov,Plant 2,24-1207 Northgate Transit Center,5100,DRAFT - Erection Drawings,QC,6.5
2026-01-13,Sam,Petrov,Plant 2,25-1091 Kestrel Logistics Hub,5120,QC - Shop Review,QC,0.5
2026-01-13,Iris,Hollander,Plant 1,25-1091 Kestrel Logistics Hub,5120,DRAFT - Piece Tickets,Engineering,4.0
2026-01-13,Iris,Hollander,Plant 1,OVERHEAD - General Engineering,6000,DRAFT - Piece Tickets,Engineering,4.0
2026-01-13,Kofi,Mensah,Plant 3,25-1044 Harborview Medical Deck,5110,PM - Coordination,Drafting,8.0
2026-01-14,Dana,Whitfield,Plant 1,25-1044 Harborview Medical Deck,5110,DESIGN - Connection Design,Engineering,7.0
2026-01-14,Dana,Whitfield,Plant 1,24-1207 Northgate Transit Center,5100,DRAFT - Piece Tickets,Engineering,0.5
2026-01-14,Dana,Whitfield,Plant 1,25-1044 Harborview Medical Deck,5110,ADMIN - Meetings,Engineering,0.5
2026-01-14,Marcus,Ohara,Plant 1,24-1207 Northgate Transit Center,5100,DESIGN - Connection Design,Engineering,6.0
2026-01-14,Marcus,Ohara,Plant 1,25-1091 Kestrel Logistics Hub,5120,DESIGN - Connection Design,Engineering,2.0
2026-01-14,Priya,Raman,Plant 2,25-1002 Belmont Industrial Phase II,5110,ADMIN - Meetings,Engineering,7.0
2026-01-14,Priya,Raman,Plant 2,25-1044 Harborview Medical Deck,5110,DESIGN - Member Design,Engineering,1.0
2026-01-14,Tomas,Lindqvist,Plant 2,25-1044 Harborview Medical Deck,5110,PM - Coordination,Drafting,6.5
2026-01-14,Tomas,Lindqvist,Plant 2,25-1130 Fairmount Stadium Risers,5120,DRAFT - Piece Tickets,Drafting,1.5
2026-01-14,Alice,Boonyasak,Plant 1,24-1207 Northgate Transit Center,5100,DESIGN - Member Design,Drafting,7.0
2026-01-14,Alice,Boonyasak,Plant 1,24-1180 Riverside Parking Structure,5100,QC - Shop Review,Drafting,0.5
2026-01-14,Alice,Boonyasak,Plant 1,25-1130 Fairmount Stadium Risers,5120,DRAFT - Erection Drawings,Drafting,0.5
2026-01-14,Ruben,Castellanos,Plant 3,OVERHEAD - Training,6010,DRAFT - Piece Tickets,Engineering,3.5
2026-01-14,Ruben,Castellanos,Plant 3,24-1207 Northgate Transit Center,5100,DRAFT - Piece Tickets,Engineering,3.0
2026-01-14,Ruben,Castellanos,Plant 3,24-1207 Northgate Transit Center,5100,DRAFT - Piece Tickets,Engineering,1.5
2026-01-14,Nia,Okonkwo,Plant 3,25-1044 Harborview Medical Deck,5110,QC - Shop Review,QC,8.0
2026-01-14,Sam,Petrov,Plant 2,25-1091 Kestrel Logistics Hub,5120,PM - Coordination,QC,2.5
2026-01-14,Sam,Petrov,Plant 2,25-1091 Kestrel Logistics Hub,5120,QC - Shop Review,QC,0.5
2026-01-14,Sam,Petrov,Plant 2,25-1130 Fairmount Stadium Risers,5120,ADMIN - Meetings,QC,5.0
2026-01-14,Iris,Hollander,Plant 1,24-1207 Northgate Transit Center,5100,DESIGN - Connection Design,Engineering,3.5
2026-01-14,Iris,Hollander,Plant 1,24-1207 Northgate Transit Center,5100,DRAFT - Piece Tickets,Engineering,3.0
2026-01-14,Iris,Hollander,Plant 1,OVERHEAD - Training,6010,DRAFT - Erection Drawings,Engineering,1.5
2026-01-14,Kofi,Mensah,Plant 3,OVERHEAD - Training,6010,PM - Coordination,Drafting,3.5
2026-01-14,Kofi,Mensah,Plant 3,25-1002 Belmont Industrial Phase II,5110,DRAFT - Erection Drawings,Drafting,4.5
2026-01-15,Dana,Whitfield,Plant 1,OVERHEAD - Training,6010,DESIGN - Connection Design,Engineering,5.5
2026-01-15,Dana,Whitfield,Plant 1,24-1180 Riverside Parking Structure,5100,DRAFT - Piece Tickets,Engineering,2.5
2026-01-15,Marcus,Ohara,Plant 1,24-1180 Riverside Parking Structure,5100,DESIGN - Connection Design,Engineering,5.5
2026-01-15,Marcus,Ohara,Plant 1,OVERHEAD - General Engineering,6000,DRAFT - Piece Tickets,Engineering,2.5
2026-01-15,Priya,Raman,Plant 2,25-1091 Kestrel Logistics Hub,5120,PM - Coordination,Engineering,4.0
2026-01-15,Priya,Raman,Plant 2,25-1130 Fairmount Stadium Risers,5120,DESIGN - Member Design,Engineering,2.5
2026-01-15,Priya,Raman,Plant 2,24-1180 Riverside Parking Structure,5100,QC - Shop Review,Engineering,1.5
2026-01-15,Tomas,Lindqvist,Plant 2,24-1207 Northgate Transit Center,5100,DRAFT - Piece Tickets,Drafting,6.0
2026-01-15,Tomas,Lindqvist,Plant 2,OVERHEAD - Training,6010,PM - Coordination,Drafting,2.0
2026-01-15,Alice,Boonyasak,Plant 1,25-1130 Fairmount Stadium Risers,5120,QC - Shop Review,Drafting,5.5
2026-01-15,Alice,Boonyasak,Plant 1,OVERHEAD - General Engineering,6000,QC - Shop Review,Drafting,2.5
2026-01-15,Ruben,Castellanos,Plant 3,24-1207 Northgate Transit Center,5100,DRAFT - Piece Tickets,Engineering,5.0
2026-01-15,Ruben,Castellanos,Plant 3,25-1002 Belmont Industrial Phase II,5110,DRAFT - Piece Tickets,Engineering,3.0
2026-01-15,Nia,Okonkwo,Plant 3,25-1130 Fairmount Stadium Risers,5120,DRAFT - Erection Drawings,QC,8.0
2026-01-15,Sam,Petrov,Plant 2,25-1130 Fairmount Stadium Risers,5120,QC - Shop Review,QC,3.5
2026-01-15,Sam,Petrov,Plant 2,25-1130 Fairmount Stadium Risers,5120,DRAFT - Erection Drawings,QC,4.5
2026-01-15,Iris,Hollander,Plant 1,25-1002 Belmont Industrial Phase II,5110,DRAFT - Erection Drawings,Engineering,6.5
2026-01-15,Iris,Hollander,Plant 1,25-1130 Fairmount Stadium Risers,5120,DRAFT - Erection Drawings,Engineering,1.0
2026-01-15,Iris,Hollander,Plant 1,24-1180 Riverside Parking Structure,5100,DRAFT - Erection Drawings,Engineering,0.5
2026-01-15,Kofi,Mensah,Plant 3,24-1207 Northgate Transit Center,5100,DRAFT - Erection Drawings,Drafting,2.0
2026-01-15,Kofi,Mensah,Plant 3,24-1207 Northgate Transit Center,5100,DESIGN - Connection Design,Drafting,6.0
2026-01-16,Dana,Whitfield,Plant 1,25-1044 Harborview Medical Deck,5110,DRAFT - Piece Tickets,Engineering,1.5
2026-01-16,Dana,Whitfield,Plant 1,OVERHEAD - Training,6010,ADMIN - Meetings,Engineering,1.0
2026-01-16,Dana,Whitfield,Plant 1,OVERHEAD - General Engineering,6000,QC - Shop Review,Engineering,5.5
2026-01-16,Marcus,Ohara,Plant 1,24-1180 Riverside Parking Structure,5100,DRAFT - Erection Drawings,Engineering,8.0
2026-01-16,Priya,Raman,Plant 2,25-1091 Kestrel Logistics Hub,5120,DESIGN - Connection Design,Engineering,6.0
2026-01-16,Priya,Raman,Plant 2,25-1130 Fairmount Stadium Risers,5120,ADMIN - Meetings,Engineering,2.0
2026-01-16,Tomas,Lindqvist,Plant 2,25-1091 Kestrel Logistics Hub,5120,PM - Coordination,Drafting,1.5
2026-01-16,Tomas,Lindqvist,Plant 2,OVERHEAD - Training,6010,QC - Shop Review,Drafting,2.0
2026-01-16,Tomas,Lindqvist,Plant 2,25-1091 Kestrel Logistics Hub,5120,QC - Shop Review,Drafting,4.5
2026-01-16,Alice,Boonyasak,Plant 1,25-1044 Harborview Medical Deck,5110,DESIGN - Connection Design,Drafting,1.0
2026-01-16,Alice,Boonyasak,Plant 1,24-1207 Northgate Transit Center,5100,DRAFT - Erection Drawings,Drafting,5.5
2026-01-16,Alice,Boonyasak,Plant 1,25-1044 Harborview Medical Deck,5110,QC - Shop Review,Drafting,1.5
2026-01-16,Ruben,Castellanos,Plant 3,25-1002 Belmont Industrial Phase II,5110,ADMIN - Meetings,Engineering,8.0
2026-01-16,Nia,Okonkwo,Plant 3,25-1002 Belmont Industrial Phase II,5110,DESIGN - Connection Design,QC,8.0
2026-01-16,Sam,Petrov,Plant 2,25-1130 Fairmount Stadium Risers,5120,ADMIN - Meetings,QC,8.0
2026-01-16,Iris,Hollander,Plant 1,25-1130 Fairmount Stadium Risers,5120,ADMIN - Meetings,Engineering,6.5
2026-01-16,Iris,Hollander,Plant 1,25-1044 Harborview Medical Deck,5110,DESIGN - Member Design,Engineering,1.5
2026-01-16,Kofi,Mensah,Plant 3,25-1091 Kestrel Logistics Hub,5120,DRAFT - Piece Tickets,Drafting,8.0
2026-01-19,Dana,Whitfield,Plant 1,OVERHEAD - Training,6010,ADMIN - Meetings,Engineering,8.0
2026-01-19,Marcus,Ohara,Plant 1,25-1002 Belmont Industrial Phase II,5110,DESIGN - Connection Design,Engineering,8.0
2026-01-19,Priya,Raman,Plant 2,OVERHEAD - Training,6010,DESIGN - Member Design,Engineering,8.0
2026-01-19,Tomas,Lindqvist,Plant 2,OVERHEAD - Training,6010,ADMIN - Meetings,Drafting,6.0
2026-01-19,Tomas,Lindqvist,Plant 2,25-1091 Kestrel Logistics Hub,5120,DESIGN - Connection Design,Drafting,2.0
2026-01-19,Alice,Boonyasak,Plant 1,25-1091 Kestrel Logistics Hub,5120,DESIGN - Connection Design,Drafting,8.0
2026-01-19,Nia,Okonkwo,Plant 3,24-1180 Riverside Parking Structure,5100,DESIGN - Connection Design,QC,8.0
2026-01-19,Sam,Petrov,Plant 2,25-1002 Belmont Industrial Phase II,5110,DRAFT - Piece Tickets,QC,1.5
2026-01-19,Sam,Petrov,Plant 2,25-1130 Fairmount Stadium Risers,5120,DESIGN - Member Design,QC,3.5
2026-01-19,Sam,Petrov,Plant 2,OVERHEAD - Training,6010,DESIGN - Connection Design,QC,3.0
2026-01-19,Iris,Hollander,Plant 1,25-1044 Harborview Medical Deck,5110,DESIGN - Member Design,Engineering,3.5
2026-01-19,Iris,Hollander,Plant 1,25-1091 Kestrel Logistics Hub,5120,DRAFT - Piece Tickets,Engineering,2.5
2026-01-19,Iris,Hollander,Plant 1,OVERHEAD - General Engineering,6000,ADMIN - Meetings,Engineering,2.0
2026-01-19,Kofi,Mensah,Plant 3,OVERHEAD - Training,6010,DESIGN - Member Design,Drafting,2.5
2026-01-19,Kofi,Mensah,Plant 3,25-1130 Fairmount Stadium Risers,5120,DESIGN - Connection Design,Drafting,5.5
2026-01-20,Dana,Whitfield,Plant 1,25-1130 Fairmount Stadium Risers,5120,DRAFT - Piece Tickets,Engineering,8.0
2026-01-20,Marcus,Ohara,Plant 1,25-1130 Fairmount Stadium Risers,5120,DESIGN - Member Design,Engineering,5.0
2026-01-20,Marcus,Ohara,Plant 1,OVERHEAD - General Engineering,6000,ADMIN - Meetings,Engineering,3.0
2026-01-20,Priya,Raman,Plant 2,OVERHEAD - General Engineering,6000,PM - Coordination,Engineering,1.5
2026-01-20,Priya,Raman,Plant 2,25-1044 Harborview Medical Deck,5110,QC - Shop Review,Engineering,1.5
2026-01-20,Priya,Raman,Plant 2,24-1207 Northgate Transit Center,5100,DRAFT - Erection Drawings,Engineering,5.0
2026-01-20,Tomas,Lindqvist,Plant 2,OVERHEAD - Training,6010,DESIGN - Connection Design,Drafting,7.0
2026-01-20,Tomas,Lindqvist,Plant 2,25-1044 Harborview Medical Deck,5110,ADMIN - Meetings,Drafting,1.0
2026-01-20,Alice,Boonyasak,Plant 1,25-1002 Belmont Industrial Phase II,5110,DRAFT - Piece Tickets,Drafting,5.0
2026-01-20,Alice,Boonyasak,Plant 1,24-1180 Riverside Parking Structure,5100,DRAFT - Piece Tickets,Drafting,1.5
2026-01-20,Alice,Boonyasak,Plant 1,24-1180 Riverside Parking Structure,5100,PM - Coordination,Drafting,1.5
2026-01-20,Ruben,Castellanos,Plant 3,25-1130 Fairmount Stadium Risers,5120,QC - Shop Review,Engineering,8.0
2026-01-20,Nia,Okonkwo,Plant 3,25-1002 Belmont Industrial Phase II,5110,PM - Coordination,QC,4.0
2026-01-20,Nia,Okonkwo,Plant 3,OVERHEAD - Training,6010,DRAFT - Erection Drawings,QC,4.0
2026-01-20,Sam,Petrov,Plant 2,OVERHEAD - General Engineering,6000,DESIGN - Connection Design,QC,5.5
2026-01-20,Sam,Petrov,Plant 2,25-1044 Harborview Medical Deck,5110,PM - Coordination,QC,2.0
2026-01-20,Sam,Petrov,Plant 2,24-1180 Riverside Parking Structure,5100,DRAFT - Piece Tickets,QC,0.5
2026-01-20,Iris,Hollander,Plant 1,24-1180 Riverside Parking Structure,5100,DESIGN - Member Design,Engineering,8.0
2026-01-20,Kofi,Mensah,Plant 3,25-1002 Belmont Industrial Phase II,5110,DESIGN - Member Design,Drafting,4.0
2026-01-20,Kofi,Mensah,Plant 3,25-1091 Kestrel Logistics Hub,5120,DRAFT - Erection Drawings,Drafting,2.5
2026-01-20,Kofi,Mensah,Plant 3,OVERHEAD - Training,6010,DESIGN - Connection Design,Drafting,1.5
2026-01-21,Dana,Whitfield,Plant 1,OVERHEAD - Training,6010,DRAFT - Erection Drawings,Engineering,0.5
2026-01-21,Dana,Whitfield,Plant 1,OVERHEAD - General Engineering,6000,ADMIN - Meetings,Engineering,5.5
2026-01-21,Dana,Whitfield,Plant 1,25-1044 Harborview Medical Deck,5110,PM - Coordination,Engineering,2.0
